date	cape-1	cape-3	cape-6	cape-12	cape-24	cape-60	cape-120	shiller-cape	ret-1	ret-3	ret-6	ret-12	ret-24	ret-60	ret-120	rret-1	rret-3	rret-6	rret-12	rret-24	rret-60	rret-120
1871.01	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.07	0.07	0.09	0.15	0.00	0.39	-0.02	0.06	0.10	0.08	0.11	0.15	0.84
1871.02	10.92	NA	NA	NA	NA	NA	NA	NA	0.02	0.08	0.06	0.08	0.14	0.00	0.37	0.01	0.13	0.15	0.10	0.11	0.19	0.85
1871.03	11.35	NA	NA	NA	NA	NA	NA	NA	0.03	0.05	0.05	0.09	0.11	-0.02	0.35	0.07	0.13	0.12	0.11	0.09	0.18	0.85
1871.04	12.29	12.05	NA	NA	NA	NA	NA	NA	0.03	-0.00	-0.03	0.09	0.06	-0.08	0.31	0.05	0.04	-0.02	0.05	0.01	0.07	0.72
1871.05	12.44	12.68	NA	NA	NA	NA	NA	NA	-0.01	-0.01	-0.05	0.07	0.04	-0.14	0.34	0.01	0.02	-0.05	-0.00	-0.01	0.02	0.73
1871.06	12.24	12.58	NA	NA	NA	NA	NA	NA	-0.02	0.00	-0.02	0.06	0.03	-0.14	0.37	-0.02	-0.00	-0.06	-0.01	-0.01	0.03	0.73
1871.07	11.82	12.04	12.26	NA	NA	NA	NA	NA	0.01	-0.03	0.03	0.08	0.05	-0.13	0.34	0.03	-0.05	-0.02	0.01	0.01	0.04	0.69
1871.08	12.16	12.23	12.55	NA	NA	NA	NA	NA	0.01	-0.03	0.02	0.05	0.04	-0.18	0.29	-0.01	-0.07	-0.04	-0.03	-0.02	-0.04	0.57
1871.09	11.82	11.94	12.23	NA	NA	NA	NA	NA	-0.05	-0.02	0.04	0.02	-0.05	-0.24	0.29	-0.07	-0.06	-0.01	-0.04	-0.08	-0.10	0.54
1871.10	11.30	11.18	11.30	NA	NA	NA	NA	NA	0.01	0.06	0.13	0.08	-0.09	-0.20	0.34	0.01	0.03	0.06	0.05	-0.08	-0.06	0.61
